Gecko sp.,length_cm,svl_cm,width_cm,len_vol_cm3,svl_vol_cm3,disp_light_cm,dist_light_cm,tail_present,zone,quadrat,time,date,gecko_present,scale_ref,bad_img_qua,photo_id_A,photo_id_B,photo_id_C,,
f,14.5,6.9,1.5,68.3,32.5,247.9,332.6,1,1,e11,a,11/09/2024,1,tape,0,zone1_11092024_a_1,zone1_11092024_a_2,,,
f,4.4,3.1,0.9,12.4,8.8,138.1,146.0,0,1,e3,a,11/09/2024,1,object,0,zone1_11092024_a_3,zone1_11092024_a_4,,,
f,14.6,6.9,1.6,73.4,34.7,252.9,321.8,1,1,e11,m,11/09/2024,1,tape,0,zone1_11092024_m_1,zone1_11092024_m_2,,,
h,8.8,4.7,1.4,38.7,20.7,na,na,1,1,c3,n,11/09/2024,1,object,0,zone1_11092024_n_2,,,,
h,5.5,3.8,0.9,15.6,10.7,na,na,0,1,c3,n,11/09/2024,1,object,0,zone1_11092024_n_2,,,,
f,9.2,6.0,1.7,49.1,32.0,na,na,1,1,c2,n,11/09/2024,1,object,0,zone1_11092024_n_3,,,,
h,4.1,2.3,0.5,6.4,3.6,na,na,1,1,c2,n,11/09/2024,1,object,0,zone1_11092024_n_4,,,,
f,10.7,5.1,1.5,50.4,24.0,0.0,0.0,1,1,e2,n,11/09/2024,1,tape,0,zone1_11092024_n_5,,,,
f,11.5,5.8,1.8,65.0,32.8,0.0,0.0,1,1,e2,n,11/09/2024,1,tape,0,zone1_11092024_n_5,,,,
f,16.3,8.5,2.1,107.5,56.1,110.7,110.7,1,1,e2,n,11/09/2024,1,both,0,zone1_11092024_n_6,zone1_11092024_n_6a,zone1_11092024_n_6b,,
h,9.4,4.9,1.1,32.5,16.9,116.1,116.1,1,1,e2,n,11/09/2024,1,both,0,zone1_11092024_n_6,zone1_11092024_n_6b,,,
h,10.6,5.7,1.9,63.3,34.0,129.3,142.0,1,1,e2,n,11/09/2024,1,both,0,zone1_11092024_n_6,,,,
f,7.8,4.7,1.0,24.5,14.8,167.8,189.7,1,1,e12,n,11/09/2024,1,both,0,zone1_11092024_n_7,,,,
f,8.1,4.9,1.4,35.6,21.6,62.0,85.2,1,1,e12,n,11/09/2024,1,both,0,zone1_11092024_n_7,zone1_11092024_n_8,,,
h,8.1,4.7,1.1,28.0,16.2,173.8,189.9,1,1,e11,n,11/09/2024,1,both,0,zone1_11092024_n_9,zone1_11092024_n_9a,,,
h,9.9,5.4,1.0,31.1,17.0,152.8,168.9,1,1,e11,n,11/09/2024,1,both,0,zone1_11092024_n_9,zone1_11092024_n_9a,,,
h,15.1,7.5,1.6,75.9,37.7,156.1,188.5,1,1,e11,n,11/09/2024,1,both,0,zone1_11092024_n_9a,,,,
h,4.8,3.2,0.9,13.6,9.0,210.2,241.1,1,1,e11,n,11/09/2024,1,both,0,zone1_11092024_n_9a,,,,
h,7.3,4.2,1.0,22.9,13.2,16.5,19.8,1,1,e3,n,11/09/2024,1,tape,0,zone1_11092024_n_10,,,,
f,3.3,2.6,1.0,10.4,8.2,114.0,129.0,0,1,e3,n,11/09/2024,1,object,0,zone1_11092024_n_10,zone1_11092024_n_11,,,
h,10.2,5.0,1.2,38.5,18.8,66.1,92.4,1,1,e12,a,12/09/2024,1,tape,0,zone1_12092024_a_5,zone1_12092024_a_6,,,
f,4.2,3.4,0.8,10.6,8.5,16.5,19.9,0,1,e3,a,12/09/2024,1,tape,0,zone1_12092024_a_7,,,,
h,7.8,4.2,0.9,22.1,11.9,148.4,163.6,1,1,e11,m,12/09/2024,1,both,0,zone1_12092024_m_4,,,,
f,14.4,6.8,1.7,76.9,36.3,218.6,287.2,1,1,e11,m,12/09/2024,1,tape,0,zone1_12092024_m_5,zone1_12092024_m_6,,,
h,7.6,na,na,na,na,82.6,82.6,na,1,e2,n,12/09/2024,0,tape,0,zone1_12092024_n_14,,,,
h,8.2,na,na,na,na,68.0,68.0,na,1,e2,n,12/09/2024,0,tape,0,zone1_12092024_n_14,,,,
h,10.2,5.3,1.4,44.9,23.3,0.0,0.0,1,1,e2,n,12/09/2024,1,tape,0,zone1_12092024_n_15,,,,
h,8.1,na,na,na,na,0.0,0.0,1,1,e2,n,12/09/2024,1,tape,0,zone1_12092024_n_15,,,,
h,8.5,5.5,1.2,32.0,20.7,41.4,41.4,1,1,e2,n,12/09/2024,1,tape,0,zone1_12092024_n_14,,,,
h,8.1,5.4,1.2,30.5,20.4,na,na,1,1,c3,n,12/09/2024,1,tape,0,zone1_12092024_n_16,,,,
h,7.5,na,na,na,na,na,na,na,1,c3,n,12/09/2024,0,tape,0,zone1_12092024_n_16,,,,
h,7.0,4.3,1.1,24.2,14.9,149.9,165.1,1,1,e12,n,12/09/2024,1,both,0,zone1_12092024_n_18,zone1_12092024_n_19,,,
h,11.0,6.1,1.5,51.8,28.7,5.3,11.8,1,1,e12,n,12/09/2024,1,both,0,zone1_12092024_n_22,,,,
f,9.8,4.7,1.5,46.2,22.1,62.3,97.5,1,1,e12,n,12/09/2024,1,both,0,zone1_12092024_n_20,zone1_12092024_n_19,zone1_12092024_n_21,,
h,10.2,6.1,1.6,51.3,30.7,87.1,123.0,1,1,e11,n,12/09/2024,1,both,0,zone1_12092024_n_23,,,,
h,14.4,6.8,1.4,63.3,29.9,89.3,121.0,1,1,e11,n,12/09/2024,1,both,0,zone1_12092024_n_23,,,,
h,13.4,6.0,1.7,71.6,32.0,56.4,70.1,1,1,e11,n,12/09/2024,1,both,0,zone1_12092024_n_23,zone1_12092024_n_24,,,
h,10.8,5.5,1.3,44.1,22.5,101.7,121.8,1,1,e3,n,12/09/2024,1,both,0,zone1_12092024_n_25,,,,
f,13.8,6.0,1.4,60.7,26.4,240.4,318.2,1,1,e11,m,13/09/2024,1,tape,0,zone1_13092024_m_7,zone1_13092024_m_8,,,
f,9.2,5.5,1.6,46.2,27.6,275.3,411.2,1,1,e11,m,13/09/2024,1,tape,0,zone1_13092024_m_7,zone1_13092024_m_8,,,
h,3.5,3.1,0.5,5.6,5.1,116.4,116.4,0,1,e2,m,13/09/2024,1,tape,0,zone1_13092024_m_9,zone1_13092024_m_10,,,
f,13.8,6.1,1.4,60.7,26.8,63.1,86.7,1,1,e11,n,13/09/2024,1,both,0,zone1_13092024_n_26,zone1_13092024_n_27,,,
h,13.5,6.6,1.6,66.6,32.6,112.5,139.4,1,1,e11,n,13/09/2024,1,both,0,zone1_13092024_n_26,zone1_13092024_n_27,,,
f,11.2,5.8,1.7,59.5,30.8,184.6,213.7,1,1,e11,n,13/09/2024,1,both,0,zone1_13092024_n_26,zone1_13092024_n_27,,,
f,8.0,5.3,1.4,34.7,23.1,62.8,98.6,1,1,e12,n,13/09/2024,1,both,0,zone1_13092024_n_28,,,,
f,8.8,5.0,0.9,25.7,14.6,177.4,178.4,1,1,e12,n,13/09/2024,1,both,0,zone1_13092024_n_28,,,,
h,5.1,2.8,0.6,8.8,4.8,96.2,184.7,1,1,e11,n,13/09/2024,1,both,0,zone1_13092024_n_29,zone1_13092024_n_30,,,
f,10.8,4.6,1.4,47.5,20.2,111.7,184.4,1,1,e3,n,13/09/2024,1,both,0,zone1_13092024_n_31,,,,
f,4.4,2.8,1.0,13.8,8.8,100.7,160.6,0,1,e3,n,13/09/2024,1,both,0,zone1_13092024_n_31,,,,
f,9.7,5.1,2.2,67.0,35.2,68.2,82.4,1,1,e3,n,13/09/2024,1,both,0,zone1_13092024_n_31,zone1_13092024_n_32,,,
f,14.5,na,3.0,136.7,na,14.2,30.2,1,1,e3,n,13/09/2024,1,both,1,zone1_13092024_n_31,zone1_13092024_n_32,,,
f,12.2,na,na,na,na,53.2,69.3,1,1,e3,n,13/09/2024,0,both,1,zone1_13092024_n_31,zone1_13092024_n_32,,,
h,9.0,6.8,1.4,39.6,29.9,107.2,126.6,1,1,e3,n,13/09/2024,1,both,1,zone1_13092024_n_31,,,,
h,10.0,5.7,2.2,69.1,39.4,67.1,67.0,1,1,e3,n,13/09/2024,1,both,1,zone1_13092024_n_31,,,,
h,9.1,4.8,1.2,34.3,18.1,21.3,21.3,1,1,e2,n,13/09/2024,1,tape,0,zone1_13092024_n_33,,,,
h,7.2,4.0,0.7,15.8,8.8,55.3,69.2,1,1,e12,a,14/09/2024,1,tape,0,zone1_14092024_a_8,,,,
f,10.7,5.1,1.1,37.0,17.6,60.3,94.0,1,1,e12,a,14/09/2024,1,tape,0,zone1_14092024_a_8,,,,
f,3.7,2.7,0.7,8.1,5.9,119.3,134.3,0,1,e3,a,14/09/2024,1,object,0,zone1_14092024_a_9,zone1_14092024_a_10,,,
f,10.0,5.7,0.9,28.3,16.1,136.0,154.2,1,1,e3,a,14/09/2024,1,both,0,zone1_14092024_a_11,zone1_14092024_a_12,,,
f,10.2,5.7,0.8,25.6,14.3,120.2,135.2,1,1,e11,m,14/09/2024,1,both,0,zone1_14092024_m_11,,,,
f,7.3,4.0,0.9,20.6,11.3,na,na,1,1,c3,n,14/09/2024,1,tape,0,zone1_14092024_n_34,,,,
f,9.0,6.2,1.4,39.6,27.3,na,na,0,1,c3,n,14/09/2024,1,tape,0,zone1_14092024_n_34,,,,
f,12.7,6.8,1.7,67.8,36.3,na,na,1,1,c3,n,14/09/2024,1,tape,0,zone1_14092024_n_34,,,,
h,10.6,5.8,1.3,43.3,23.7,7.3,7.3,1,1,e2,n,14/09/2024,1,both,0,zone1_14092024_n_35,zone1_14092024_n_36,,,
h,7.9,3.9,0.9,22.3,11.0,41.4,41.4,1,1,e2,n,14/09/2024,1,both,0,zone1_14092024_n_35,zone1_14092024_n_36,,,
o,6.4,3.3,0.5,10.1,5.2,0.0,0.0,1,1,e2,n,14/09/2024,1,tape,0,zone1_14092024_n_37,,,,
h,9.2,4.8,1.3,37.6,19.6,72.3,91.8,1,1,e12,n,14/09/2024,1,both,0,zone1_14092024_n_38,,,,
h,9.5,6.5,1.3,38.6,26.5,4.3,11.9,1,1,e12,n,14/09/2024,1,both,0,zone1_14092024_n_40,,,,
f,6.7,3.4,1.4,29.5,15.0,67.7,127.0,1,1,e12,n,14/09/2024,1,both,0,zone1_14092024_n_38,,,,
f,8.8,4.8,1.1,30.4,16.6,66.6,113.0,1,1,e12,n,14/09/2024,1,both,0,zone1_14092024_n_38,zone1_14092024_n_39,,,
f,9.6,5.3,1.1,33.2,18.3,62.6,87.5,1,1,e12,n,14/09/2024,1,both,0,zone1_14092024_n_38,zone1_14092024_n_39,,,
h,4.1,2.5,0.5,6.4,3.9,53.1,53.1,1,1,e11,n,14/09/2024,1,both,0,zone1_14092024_n_41,,,,
h,5.5,4.7,1.5,25.9,22.1,198.9,227.0,0,1,e11,n,14/09/2024,1,both,0,zone1_14092024_n_42,,,,
f,4.9,2.2,0.8,12.3,5.5,115.1,130.1,0,1,e3,n,14/09/2024,1,object,0,zone1_14092024_n_43,,,,
h,7.3,3.7,0.9,20.6,10.5,77.3,91.7,1,3,e1,a,11/09/2024,1,object,0,zone3_11092024_a_1,,,,
h,10.5,6.5,1.1,36.3,22.5,50.8,66.7,1,3,e1,a,11/09/2024,1,both,0,zone3_11092024_a_3,,,,
f,8.4,5.1,0.9,23.8,14.4,149.1,164.3,1,3,e1,a,11/09/2024,1,object,0,zone3_11092024_a_2,,,,
f,7.2,4.2,0.7,15.8,9.2,169.3,184.6,1,3,e1,a,11/09/2024,1,object,0,zone3_11092024_a_2,,,,
f,6.3,3.5,0.6,11.9,6.6,98.4,104.8,1,3,e2,a,11/09/2024,1,both,0,zone3_11092024_a_4,,,,
f,6.8,4.2,1.4,29.9,18.5,29.8,41.1,1,3,e2,a,11/09/2024,1,both,0,zone3_11092024_a_5,zone3_11092024_a_6,,,
f,12.4,5.7,1.1,42.9,19.7,42.8,51.6,1,3,e1,m,11/09/2024,1,object,0,zone3_11092024_m_1,,,,
f,7.3,4.8,1.6,36.7,24.1,57.5,81.3,1,3,e2,m,11/09/2024,1,both,0,zone3_11092024_m_2,zone3_11092024_m_3,,,
h,11.9,6.1,0.9,33.6,17.2,78.3,92.8,1,3,e1,n,11/09/2024,1,object,0,zone3_11092024_n_1,,,,
h,7.5,3.7,0.9,21.2,10.5,161.4,176.7,1,3,e1,n,11/09/2024,1,object,0,zone3_11092024_n_1,,,,
h,10.5,5.9,1.2,39.6,22.2,91.4,123.6,1,3,e1,n,11/09/2024,1,object,0,zone3_11092024_n_1,,,,
f,9.7,4.9,0.9,27.4,13.9,132.4,153.1,1,3,e1,n,11/09/2024,1,object,0,zone3_11092024_n_3,zone3_11092024_n_2,,,
h,8.2,4.1,1.3,33.5,16.7,na,na,1,3,c1,n,11/09/2024,1,object,0,zone3_11092024_n_4,,,,
f,3.8,2.4,0.5,6.0,3.8,na,na,1,3,c1,n,11/09/2024,1,object,0,zone3_11092024_n_4,,,,
h,6.9,3.7,0.8,17.3,9.3,82.3,96.9,1,3,e1,a,12/09/2024,1,tape,0,zone3_12092024_a_7,,,,
h,5.7,4.0,0.7,12.5,8.8,55.9,69.7,0,3,e1,a,12/09/2024,1,both,0,zone3_12092024_a_8,,,,
f,7.0,4.2,1.0,22.0,13.2,48.7,74.3,1,3,e1,a,12/09/2024,1,tape,0,zone3_12092024_a_7,,,,
f,4.4,3.8,1.1,15.2,13.1,35.1,47.3,0,3,e1,a,12/09/2024,1,both,0,zone3_12092024_a_8,,,,
h,8.0,4.5,0.9,22.6,12.7,0.0,0.0,1,3,e2,a,12/09/2024,1,tape,0,zone3_12092024_a_9,,,,
f,7.1,4.2,1.0,22.3,13.2,4.0,4.0,1,3,e2,a,12/09/2024,1,tape,0,zone3_12092024_a_9,,,,
f,4.0,2.0,0.4,5.0,2.5,77.2,78.8,1,3,e1,m,12/09/2024,1,object,0,zone3_12092024_m_4,,,,
f,6.3,3.0,0.6,11.9,5.7,na,na,1,3,c1,n,12/09/2024,1,tape,0,zone3_12092024_n_5,,,,
f,7.0,3.6,0.7,15.4,7.9,0.0,0.0,1,3,e2,n,12/09/2024,1,object,0,zone3_12092024_n_6,zone3_12092024_n_7,,,
f,4.3,1.9,0.5,6.8,3.0,84.1,85.6,1,3,e1,n,12/09/2024,1,tape,0,zone3_12092024_n_9,,,,
f,9.5,5.6,1.3,38.8,22.9,57.3,71.1,1,3,e1,n,12/09/2024,1,tape,0,zone3_12092024_n_8,,,,
h,8.9,4.0,1.0,28.0,12.6,96.0,110.8,1,3,e1,n,12/09/2024,1,tape,0,zone3_12092024_n_8,,,,
h,8.7,4.3,1.3,35.5,17.6,na,na,1,3,c1,n,13/09/2024,1,tape,0,zone3_13092024_m_5,,,,
h,na,3.8,0.7,na,8.4,0.0,0.0,1,3,e2,n,13/09/2024,1,object,0,zone3_13092024_n_10,,,,
h,6.3,3.3,0.7,13.9,7.3,9.5,9.5,1,3,e1,n,13/09/2024,1,object,0,zone3_13092024_n_11,,,,
h,10.5,5.8,1.4,46.2,25.5,69.9,79.7,1,3,e1,n,13/09/2024,1,tape,0,zone3_13092024_n_12,,,,
h,4.3,1.9,0.6,8.1,3.6,95.8,111.9,1,3,e1,n,13/09/2024,1,tape,0,zone3_13092024_n_15,,,,
h,9.2,5.1,1.8,52.0,28.8,56.0,69.7,1,3,e1,n,13/09/2024,1,both,0,zone3_13092024_n_13,zone3_13092024_n_14,,,
h,5.2,2.7,0.9,14.7,7.6,73.4,87.7,1,3,e1,n,13/09/2024,1,both,0,zone3_13092024_n_13,zone3_13092024_n_14,,,
h,6.7,4.1,1.3,27.4,16.7,59.0,72.9,1,3,e1,n,13/09/2024,1,both,0,zone3_13092024_n_13,zone3_13092024_n_14,,,
f,7.2,3.1,0.5,11.3,4.9,25.8,36.3,1,3,e1,n,13/09/2024,1,object,0,zone3_13092024_n_11,,,,
f,12.0,5.5,1.4,52.8,24.2,48.3,69.8,1,3,e1,n,13/09/2024,1,tape,0,zone3_13092024_n_12,,,,
f,7.2,4.4,1.5,33.9,20.7,65.4,110.1,1,3,e1,n,13/09/2024,1,both,0,zone3_13092024_n_13,zone3_13092024_n_14,,,
h,4.2,2.1,0.4,5.3,2.6,na,na,1,3,c1,n,13/09/2024,1,object,0,zone3_13092024_n_16,,,,
f,8.5,4.5,1.5,40.1,21.2,38.1,50.7,1,3,e1,a,14/09/2024,1,tape,0,zone3_14092024_a_10,,,,
f,6.6,na,na,na,na,45.8,69.0,1,3,e1,a,14/09/2024,0,tape,0,zone3_14092024_a_11,,,,
f,7.7,3.7,1.0,24.2,11.6,9.4,9.4,1,3,e2,a,14/09/2024,1,object,0,zone3_14092024_a_12,zone3_14092024_a_13,,,
f,3.9,2.0,0.4,4.9,2.5,119.3,134.3,1,3,e1,m,14/09/2024,1,tape,0,zone3_14092024_m_6,,,,
f,6.5,4.2,1.4,28.6,18.5,47.6,56.8,1,3,e2,m,14/09/2024,1,both,0,zone3_14092024_m_7,zone3_14092024_m_8,,,
f,7.6,3.7,0.6,14.3,7.0,0.0,0.0,1,3,e2,n,14/09/2024,1,object,0,zone3_14092024_n_17,,,,
f,7.2,4.0,0.7,15.8,8.8,0.0,0.0,1,3,e2,n,14/09/2024,1,object,0,zone3_14092024_n_17,,,,
h,8.2,4.0,1.2,30.9,15.1,0.0,0.0,1,3,e2,n,14/09/2024,1,object,0,zone3_14092024_n_18,,,,
f,5.1,3.3,0.8,12.8,8.3,28.1,28.1,1,3,e2,n,14/09/2024,1,object,0,zone3_14092024_n_19,,,,
f,8.5,4.8,1.2,32.0,18.1,113.8,130.9,1,3,e1,n,14/09/2024,1,tape,0,zone3_14092024_n_21,,,,
f,3.5,2.0,0.4,4.4,2.5,52.7,73.6,1,3,e1,n,14/09/2024,1,object,0,zone3_14092024_n_23,,,,
f,6.4,6.4,1.9,38.2,38.2,140.1,145.8,0,3,e1,n,14/09/2024,1,tape,0,zone3_14092024_n_20,,,,
f,7.0,4.2,1.7,37.4,22.4,140.1,145.8,1,3,e1,n,14/09/2024,1,tape,0,zone3_14092024_n_20,,,,
h,12.1,5.9,1.9,72.2,35.2,94.6,116.8,1,3,e1,n,14/09/2024,1,tape,0,zone3_14092024_n_21,,,,
h,7.2,3.8,1.0,22.6,11.9,5.2,5.2,1,3,e1,n,14/09/2024,1,object,0,zone3_14092024_n_24,,,,
h,7.0,3.4,0.9,19.8,9.6,57.2,71.0,1,3,e1,n,14/09/2024,1,object,0,zone3_14092024_n_25,,,,
h,10.5,5.4,1.5,49.5,25.4,74.7,124.9,1,3,e1,n,14/09/2024,1,tape,0,zone3_14092024_n_20,,,,
h,8.4,4.7,1.4,36.9,20.7,na,na,1,3,c1,n,14/09/2024,1,tape,0,zone3_14092024_n_26,,,,
f,5.6,3.3,0.6,10.6,6.2,na,na,1,3,c1,n,14/09/2024,1,tape,0,zone3_14092024_n_27,,,,
f,3.6,1.6,0.4,4.5,2.0,na,na,1,3,c1,n,14/09/2024,1,tape,0,zone3_14092024_n_28,,,,
f,7.2,4.4,0.9,20.4,12.4,9.9,9.9,1,2,e3,m,11/09/2024,1,tape,0,zone2_11092024_m_1,,,,
h,9.7,4.8,1.3,39.6,19.6,0.0,0.0,1,2,e3,n,11/09/2024,1,object,0,zone2_11092024_n_1,,,,
h,3.9,2.4,0.5,6.1,3.8,4.2,4.2,1,2,e2,a,12/09/2024,1,object,0,zone2_12092024_a_1,,,,
h,6.6,na,na,na,na,4.2,4.2,1,2,e2,a,12/09/2024,0,object,0,zone2_12092024_a_2,,,,
f,4.7,na,na,na,na,4.2,4.2,1,2,e3,n,12/09/2024,0,object,0,zone2_12092024_n_2,,,,
h,2.4,1.2,0.2,1.5,0.8,na,na,1,2,c1,n,12/09/2024,1,object,1,zone2_12092024_n_3,zone2_12092024_n_4,,,
h,10.4,5.7,1.3,42.5,23.3,6.5,6.5,1,2,e1,n,12/09/2024,1,tape,0,zone2_12092024_n_5,,,,
f,9.8,5.2,1.2,36.9,19.6,11.8,11.8,1,2,e2,n,12/09/2024,1,tape,0,zone2_12092024_n_6,,,,
f,9.6,5.2,1.2,36.2,19.6,10.8,10.8,1,2,e2,m,13/09/2024,1,tape,0,zone2_13092024_m_2,,,,
f,4.4,2.7,0.7,9.7,5.9,2.6,2.6,1,2,e3,m,13/09/2024,1,object,0,zone2_13092024_m_3,,,,
h,8.2,3.9,0.9,23.2,11.0,9.0,9.0,1,2,e1,a,14/09/2024,1,both,0,zone2_14092024_a_3,zone2_14092024_a_4,zone2_14092024_a_5,,
f,6.8,3.7,0.6,12.8,7.0,4.2,4.2,1,2,e3,a,14/09/2024,1,object,0,zone2_14092024_a_6,,,,
h,3.1,na,na,na,na,4.2,4.2,1,2,e2,n,14/09/2024,1,object,0,zone2_14092024_n_6,,,,
h,8.9,4.3,0.8,22.4,10.8,na,na,1,2,c1,n,14/09/2024,1,tape,0,zone2_14092024_n_7,,,,
